nome_item	subtitle	valor_original	valor_pedido	condition	link_compra	link_imagem	link_real_imagem	availability
Mirror 	IKEA	29	15	Excellent	https://www.ikea.com/de/de/p/nissedal-spiegel-schwarz-30320321/	https://www.ikea.com/de/de/images/products/nissedal-spiegel-schwarz__0633565_pe695917_s5.jpg	https://lh3.googleusercontent.com/pw/AP1GczP_PldDqBTXVArWQaV__tO3OyEH8Hru_rqquAv8Ip3i91qE_dtzcybTLNVjXikDuOrShtaAXOmtu3Lf4icKHcnvLg7T9qSEuniCrSI0atCZxImrWxO7_ea-8HRbTLMlmVe7oUidrBkZDeWdSIVGntSoeQ=w1220-h1626-s-no-gm?authuser=0	No
Floor Lamp Black	IKEA	10	5	Excellent	https://www.ikea.com/de/de/p/tagarp-deckenfluter-schwarz-weiss-20404095/	https://www.ikea.com/de/de/images/products/tagarp-deckenfluter-schwarz-weiss__0810840_pe771436_s5.jpg	https://lh3.googleusercontent.com/pw/AP1GczPvXCCOcUPRSH6BSUaCJ2AVyQuS3IIGfK9NWh4q1s8hltkfWnZ9UG0wOurTRcb59SVabJMcCSQ3f6IOAEx6PDSh1yAPrNCSNFLgGHKgIu6r1_FLdyQHRqfN8-xWQz8Mn3pl60X7JYFX2xKISyfZ_8My2Q=w1220-h1626-s-no-gm?authuser=0	No
Tray Table	IKEA	15	10	Excellent	https://www.ikea.com/de/de/p/gladom-tabletttisch-schwarz-50411990/	https://www.ikea.com/de/de/images/products/gladom-tabletttisch-schwarz__0567223_pe664991_s5.jpg	https://lh3.googleusercontent.com/pw/AP1GczMeL2MkXYE6RH5z2kS2zwFOKi_qbUf02ev35iWr4w2hwWZXX9MsrNbO--5scJiLnKG1WXYksCx3Q9lyBu84Tb-mVJwaDPaqCTz7_mE6i5PiJttd4hd1eByCykpUj11zA9vKk5IunrEeZHGaWQN8dRO9PQ=w1220-h1626-s-no-gm?authuser=0	No
2 Armchairs	IKEA	189	99	Very good	https://www.ikea.com/de/de/images/products/koarp-bezug-sessel-gunnared-beige__0522280_pe643185_s2.jpg	https://lh3.googleusercontent.com/pw/AP1GczP58TdsBXja0qLUmpkXvC0lZUlpFU3ibp_oIcPrZN4UUKODQN6PdGF3se4xaZlI52Czn2keV1fDEbrT2JPPI-pqtOJY_USFYy-Q2caJbqJdMVi-qZEDlTAnMIif_KJbbRWby5FUZ351zdtZUW5hwPKIIg=w1220-h1626-s-no-gm?authuser=0	https://lh3.googleusercontent.com/pw/AP1GczNiGIZ-hsa4iqUpxvb8jjks7Dm41nInCW6qTW2CqYk7h-VTRyeoBlNEKHt6pUqJDXmHYALl0nIWOH--fVCTXFKWUejxdvZLC_XjtKSebNnpQcwgK7rc__eybzoJ0bK1GJY1sy3I1fB_ecdbwYK25Z0i9Q=w1220-h1626-s-no-gm?authuser=0	No
Metal shelf	IKEA	19	9	Very good	https://www.ikea.com/de/de/p/baggebo-regal-metall-weiss-50481172/	https://www.ikea.com/de/de/images/products/baggebo-regal-metall-weiss__0981562_pe815396_s5.jpg	https://lh3.googleusercontent.com/pw/AP1GczNcHtpUt4zXfgjGMS3opLuSUilU2fyGcjj2O86W4LEdVde2d0kT8jGfvG1XvPJBgaXciy9OWPLVi7kADJekWK374Eo0wmrpaz9M9yLuELTEm_1nFWtbmebhGVhH5DzBHYT3n9O4d66MbO92tpzQdkFoiw=w1220-h1626-s-no-gm?authuser=0	No
Wooden Table	IKEA	79	35	Good	https://www.ikea.com/de/de/p/ingo-tisch-kiefer-14630009/	https://www.ikea.com/de/de/images/products/ingo-tisch-kiefer__0737092_pe740877_s5.jpg	https://lh3.googleusercontent.com/pw/AP1GczO1YgcYxpWIvz1i-kNln25C0JA4WUxtAEhw1rljIRqtNJP4XHm38AnGYOMG-Dt9R15_Z8v0tsjCRj7N-y6EHJFWYVw-B1IBEI4RQF_et9xaVH9FcdXOQXgsZ-5d_AM3Jv1Zi0YU8c8QwMulpDaFTi8_GA=w2168-h1626-s-no-gm?authuser=0	Yes
Desk	IKEA	129	60	Excellent	https://www.ikea.com/de/de/p/trotten-schreibtisch-weiss-s99429559/?openFiche=true&utm_source=google&utm_medium=surfaces&utm_campaign=shopping_feed&utm_content=free_google_shopping_clicks_Workspaces&gad_source=1&gclid=CjwKCAjwvIWzBhAlEiwAHHWgvaNPb-ra78YWj8foySM6QUYmRO_InteKXteXvZr-P8kuG7Gc8RTjEhoC8K8QAvD_BwE&gclsrc=aw.ds	https://www.ikea.com/de/de/images/products/trotten-schreibtisch-weiss__1012718_pe828989_s5.jpg	https://www.ikea.com/de/de/images/products/trotten-schreibtisch-weiss__1012718_pe828989_s5.jpg	No
Gray 3 Seats Sofa	IKEA	799	250	Good	https://www.ikea.com/de/de/p/kivik-3er-sofa-mit-recamiere-gunnared-hellgruen-s19484818/#content	https://www.ikea.com/de/de/images/products/kivik-3er-sofa-mit-recamiere-gunnared-hellgruen__0781560_pe760864_s5.jpg	https://lh3.googleusercontent.com/pw/AP1GczPsjjfj7uUKXy1PCfer32MAew_mLMk9trJ7ZNvqBRieyuMbi-4uxUhrns69_UfOJrNFXVxka97cBSCTnRWcBFt51rN8foGqn3iikF6TvVuEaIhLh094Mju_6HsV5SQBPwRYFN6ISItBjd8RnKyVScgUyQ=w2168-h1626-s-no-gm?authuser=0	No
Samsung Crystal UHD 4K TV 43 Inch	Amazon	378	150	Excellent	https://www.amazon.de/dp/B092R9P5S5/ref=pe_27091401_487027711_TE_SCE_3p_dp_1	https://m.media-amazon.com/images/I/71gXBav47qL._AC_SX679_.jpg	https://m.media-amazon.com/images/I/71gXBav47qL._AC_SX679_.jpg	No
Siemens Washing Machine 8kg	Amazon	431	160	Excellent	https://www.amazon.de/dp/B09DYVQ62Y?psc=1&ref=ppx_yo2ov_dt_b_product_details	https://m.media-amazon.com/images/I/71Z7XFtsKXL._AC_SY879_.jpg	https://lh3.googleusercontent.com/pw/AP1GczPMCQtB53LT1H0sydR3IABDObf_Zn2fUGHzV1XDLSX-95UrN___n53WAXA3UjHxtqrux2fAPVei6JfuIbPFBkYEOKLruH3NAH8cataaCgJykhU-VwgIIn6V-hHqxknVolc2NMNcH1IfPHXfxjvhXtcflA=w1220-h1626-s-no-gm?authuser=0	Yes
